,Date,Time,Day,Duration (hrs),avgCCV,maxCCV,Followers,Views,Title
130,2020-12-29,19:39:00,Tuesday,3.9,83,373,61,0,Test 50 - gaming w the bois
131,2020-12-24,20:31:00,Thursday,2.0,36,47,10,0,Test 49 - sending viewers xmas cards
132,2020-12-17,21:44:00,Thursday,1.2,40,49,7,0,Test 48 - after hours vibin
133,2020-12-14,21:58:00,Monday,3.4,66,92,35,0,Test 47 - chat plays millionaire
134,2020-12-10,15:51:00,Thursday,3.5,191,1218,108,0,Test 46 - upload day!
135,2020-12-04,20:11:00,Friday,4.2,34,53,22,0,Test 45 - vibin w gus and bois night
136,2020-12-03,19:52:00,Thursday,6.0,86,556,105,0,Test 44 - vibin w gus and bois night
137,2020-12-02,15:48:00,Wednesday,0.8,52,58,21,0,Test 43 - babysitting gus & sabrina's doge
138,2020-12-01,15:17:00,Tuesday,2.1,60,77,86,0,Test 42 - reading live youtube comments
139,2020-11-20,23:14:00,Friday,3.7,80,125,7,0,Test 41 - chat winning a million dollars
140,2020-11-18,23:13:00,Wednesday,4.0,98,153,23,0,Test 40 - chat winning a million dollars
141,2020-11-17,21:10:00,Tuesday,2.3,33,46,7,0,Test 39 - meme competition
142,2020-11-15,22:14:00,Sunday,2.8,69,87,4,0,Test 38 - chat tries to win a million dollars
143,2020-11-14,01:23:00,Saturday,3.2,36,49,7,0,Test 37 - afterhours chillin
144,2020-11-12,21:21:00,Thursday,1.7,22,29,-2,0,Test 36 - trying VR
145,2020-11-12,17:19:00,Thursday,2.6,30,38,7,0,Test 36 - streaming on the road
146,2020-11-05,22:54:00,Thursday,2.3,35,45,4,0,Test 35 - packing for LA (afterhours stream)
147,2020-11-03,18:15:00,Tuesday,1.6,38,58,2,0,Test 34 - PO UnBoxing + channel updates
148,2020-10-29,17:30:00,Thursday,3.8,39,66,13,0,Test 33 - among us w/ Sabrina and youtube people
149,2020-10-27,22:59:00,Tuesday,7.1,49,94,37,0,Test 32 - ghost hunt w/ Sabrina! (late night stream)
150,2020-10-25,17:32:00,Sunday,2.5,56,74,11,0,Test 31 - giving myself haircut attempt
151,2020-10-21,20:26:00,Wednesday,3.1,53,67,6,0,Test 30 - playing doki doki w AOC
152,2020-10-19,20:16:00,Monday,4.8,51,63,8,0,Test 29 - answering youtube fan mail
153,2020-10-13,21:29:00,Tuesday,2.9,45,56,4,0,Test 28 - afterhours hangout
154,2020-10-09,19:02:00,Friday,4.5,48,82,14,0,Test 27 - the new DOKI DOKI today
155,2020-10-06,20:04:00,Tuesday,2.7,38,45,0,0,Test 26 - beating up ghosts w butch
156,2020-10-04,18:43:00,Sunday,5.5,56,83,5,0,Test 25 - pooping pants
157,2020-10-02,18:41:00,Friday,4.9,50,91,9,0,Test 24 - hunting ghosts w max
158,2020-09-29,18:42:00,Tuesday,2.5,63,80,8,0,Test 23 - po box unboxing
159,2020-09-24,00:30:00,Thursday,3.1,49,65,33,0,Test 22 - Among us w/ Gus Johnson and friends
160,2020-09-22,17:33:00,Tuesday,10.2,135,521,212,0,"Test 21 - Among Us w/ Sabrina, Gus johnson, and friends"
161,2020-09-20,19:18:00,Sunday,4.3,155,562,74,0,Test 20 - meet my waifu
162,2020-09-18,19:24:00,Friday,5.3,92,104,24,0,Test 19 - finding my perfect WAIFU
163,2020-09-16,18:28:00,Wednesday,7.9,224,630,287,0,Test 18 - fall guys w Gus johnson
164,2020-09-13,20:00:00,Sunday,2.6,44,55,4,0,test 17
165,2020-09-06,20:08:00,Sunday,5.4,41,51,4,0,test 16 | california on fire
166,2020-09-02,22:36:00,Wednesday,4.0,46,59,7,0,test 15 | test games
167,2020-08-31,19:21:00,Monday,5.5,55,86,8,0,test 14 | Unboxing PC viewers bought
168,2020-08-30,22:39:00,Sunday,2.8,50,57,8,0,test 13 | after hours mini stream
169,2020-08-29,18:05:00,Saturday,4.3,62,75,28,0,test 12 | PC down the street
170,2020-08-26,19:16:00,Wednesday,3.0,59,88,26,0,test 11 | New PC Problems
171,2020-08-24,20:35:00,Monday,4.3,52,67,46,0,test 10 | accesories
172,2020-08-21,20:07:00,Friday,3.1,290,686,56,0,test 9 | PC Update
173,2020-08-19,20:57:00,Wednesday,3.8,59,89,96,0,test 8 | We're AFFILIATED
174,2020-08-17,20:45:00,Monday,3.1,189,521,152,0,test 7 | our last day!
175,2020-08-17,05:08:00,Monday,0.3,10,14,1,0,test 6.1 | 5 minute stream
176,2020-08-16,23:01:00,Sunday,1.4,41,54,9,0,test 5 | buying $1600 PC
177,2020-08-16,00:00:00,Sunday,1.4,62,78,21,0,test 4.1 | short test
178,2020-08-14,20:47:00,Friday,5.0,156,1133,233,0,test 4
179,2020-08-13,20:45:00,Thursday,4.7,35,59,59,0,test 3
180,2020-08-12,22:56:00,Wednesday,4.0,5,6,4,0,test
181,2020-08-11,08:01:00,Tuesday,2.2,6,6,2,0,testing stuff
